stop,weight
虹桥火车站,1
张江高科,3
锦江乐园,3
桂林公园,2
蓝村路,3
长清路,4
五角场,2
杨高中路,3
娄山关路,3
西藏南路,4
祁华路,1
国权路,2
外环路,1
江苏路,4
黄兴路,2
陆家嘴,3
北新泾,2
南浦大桥,4
东安路,4
博兴路,3
耀华路,4
芦恒路,1
殷高东路,2
徐盈路,1
老西门,4
延吉中路,2
东兰路,2
彭浦新村,2
塘桥,3
上海科技馆,3
芳甸路,3
漕宝路,3
杨树浦路,3
龙柏新村,1
上海大学,1
真如,2
江宁路,2
中春路,2
临平路,3
上海游泳馆,3
江湾体育场,2
中山公园,4
莘庄,1
莲花路,2
四川北路,3
祁连山南路,1
合川路,2
浦东大道,3
上南路,3
交通大学,3
豫园,4
武威路,1
曲阜路,4
龙耀路,2
世纪公园,3
自然博物馆,3
淮海中路,3
大木桥路,4
杨高南路,3
小南门,4
三门路,2
大柏树,2
汉中路,4
云山路,3
东方体育中心,3
浦电路(6号线),3
上海体育场,3
蟠龙路,1
徐泾东,1
大华三路,2
祁连山路,1
临沂新村,3
石龙路,2
高青路,3
桃浦新村,1
同济大学,2
中山北路,2
高科西路,4
顾戴路,2
华夏西路,3
西藏北路,3
蓝天路,3
李子园,1
星中路,2
常熟路,3
提篮桥,3
浦电路(4号线),3
大连路,3
金沙江路,3
淞虹路,2
鲁班路,4
宜山路,3
漕河泾开发区,2
人民广场,4
衡山路,3
新村路,3
虹桥路,3
曹杨路,3
东昌路,3
南京西路,4
世博大道,3
海伦路,3
桂林路,2
东宝兴路,2
世博会博物馆,2
民生路,3
德平路,3
云台路,4
枫桥路,2
武宁路,3
嘉善路,4
曲阳路,2
上海马戏城,2
打浦桥,4
虹梅路,2
北洋泾路,3
延安西路,3
大渡河路,2
陆家浜路,4
天潼路,4
上大路,1
虹漕路,2
龙华中路,4
黄兴公园,2
金沙江西路,1
云锦路,2
中潭路,2
江浦路,2
江浦公园,3
源深体育中心,3
宁国路,3
丰庄,1
虹桥2号航站楼,2
中兴路,3
岚皋路,3
镇坪路,3
鞍山新村,2
宋园路,3
宝山路,3
虹口足球场,2
肇嘉浜路,4
延长路,2
南京东路,4
大世界,4
漕溪路,2
龙漕路,3
长寿路,3
龙溪路,2
金桥路,3
芳华路,3
威宁路,2
诸光路,1
虹桥1号航站楼,1
汶水路,2
上海南站,3
金运路,1
昌平路,3
中华艺术宫,4
上海西站,1
国际客运中心,3
杨思,3
后滩,4
新闸路,4
陕西南路,4
灵岩南路,3
赤峰路,2
真北路,1
金科路,3
商城路,4
徐家汇,3
上海儿童医学中心,3
紫藤路,1
邮电新村,3
马当路,4
四平路,3
成山路,4
上海火车站,3
龙阳路,3
共康路,2
行知路,2
花木路,3
凌兆新村,3
水城路,3
上海动物园,1
上海体育馆,3
隆昌路,2
龙华,3
新天地,4
七宝,2
伊犁路,3
大场镇,2
隆德路,3
南陈路,1
锦绣路,3
通河新村,2
世纪大道,4
黄陂南路,4
场中路,1
东明路,3
上海图书馆,3
复兴岛,1
海天三路,1
洲海路,1
莲溪路,2
华夏中路,2
广兰路,2
静安寺,3
爱国路,1
市光路,1
周浦东,2
嫩江路,1
唐镇,2
创新中路,2
杨高北路,1
金桥,1
罗山路,2
五莲路,2
翔殷路,1
巨峰路,2
金吉路,1
新江湾城,1
东靖路,1
金海路,1
五洲大道,1
台儿庄路,2
花桥,1
虹莘路,1
兆丰路,1
九亭,1
泗泾,1
航中路,1
佘山,1
凌空路,1
张江路,1
中科路,1
鹤沙航城,1
航头东,1
北蔡,1
康新公路,1
下南路,1
川沙,1
远东大道,1
秀沿路,1
御桥,1
陈春路,1
华夏东路,1
